Year,Campus,Discipline,Net Stipend,Source
2008,Santa Barbara,Physical Sciences,17053,kt-scrape-excel
2008,Santa Barbara,Professional,28598,kt-scrape-excel
2008,Santa Barbara,Social Sciences,19703,kt-scrape-excel
2008,Santa Cruz,Engineering & CS,21647,kt-scrape-excel
2008,Santa Cruz,Fine Arts,31571,kt-scrape-excel
2008,Santa Cruz,Humanities,31437,kt-scrape-excel
2008,Santa Cruz,Life Sciences,33275,kt-scrape-excel
2008,Santa Cruz,Other,26237,kt-scrape-excel
2008,Santa Cruz,Physical Sciences,29893,kt-scrape-excel
2008,Santa Cruz,Social Sciences,27224,kt-scrape-excel
2009,Systemwide,Engineering & CS,15884,kt-scrape-excel
2009,Systemwide,Fine Arts,30005,kt-scrape-excel
2009,Systemwide,Health Sciences,21153,kt-scrape-excel
2009,Systemwide,Humanities,26544,kt-scrape-excel
2009,Systemwide,Life Sciences,24077,kt-scrape-excel
2009,Systemwide,Other,24866,kt-scrape-excel
2009,Systemwide,Physical Sciences,24637,kt-scrape-excel
2009,Systemwide,Professional,22358,kt-scrape-excel
2009,Systemwide,Social Sciences,18772,kt-scrape-excel
2009,Berkeley,Engineering & CS,22188,kt-scrape-excel
2009,Berkeley,Fine Arts,26998,kt-scrape-excel
2009,Berkeley,Health Sciences,22462,kt-scrape-excel
2009,Berkeley,Humanities,25835,kt-scrape-excel
2009,Berkeley,Life Sciences,28528,kt-scrape-excel
2009,Berkeley,Other,27925,kt-scrape-excel
2009,Berkeley,Physical Sciences,22722,kt-scrape-excel
2009,Berkeley,Professional,22647,kt-scrape-excel
2009,Berkeley,Social Sciences,27813,kt-scrape-excel
2009,Davis,Engineering & CS,21765,kt-scrape-excel
2009,Davis,Fine Arts,31733,kt-scrape-excel
2009,Davis,Health Sciences,0,kt-scrape-excel
2009,Davis,Humanities,29475,kt-scrape-excel
2009,Davis,Life Sciences,27107,kt-scrape-excel
2009,Davis,Other,30145,kt-scrape-excel
2009,Davis,Physical Sciences,30723,kt-scrape-excel
2009,Davis,Professional,23161,kt-scrape-excel
2009,Davis,Social Sciences,23877,kt-scrape-excel
2009,Irvine,Engineering & CS,9023,kt-scrape-excel
2009,Irvine,Fine Arts,30534,kt-scrape-excel
2009,Irvine,Humanities,25859,kt-scrape-excel
2009,Irvine,Life Sciences,16974,kt-scrape-excel
2009,Irvine,Other,26264,kt-scrape-excel
2009,Irvine,Physical Sciences,16202,kt-scrape-excel
2009,Irvine,Social Sciences,14619,kt-scrape-excel
2009,Los Angeles,Engineering & CS,15845,kt-scrape-excel
2009,Los Angeles,Fine Arts,26597,kt-scrape-excel
2009,Los Angeles,Health Sciences,22598,kt-scrape-excel
2009,Los Angeles,Humanities,27528,kt-scrape-excel
2009,Los Angeles,Life Sciences,24528,kt-scrape-excel
2009,Los Angeles,Other,27417,kt-scrape-excel
2009,Los Angeles,Physical Sciences,25648,kt-scrape-excel
2009,Los Angeles,Professional,32009,kt-scrape-excel
2009,Los Angeles,Social Sciences,21325,kt-scrape-excel
2009,Merced,Engineering & CS,41458,kt-scrape-excel
2009,Merced,Life Sciences,26916,kt-scrape-excel
2009,Merced,Physical Sciences,31170,kt-scrape-excel
2009,Merced,Social Sciences,41906,kt-scrape-excel
2009,Riverside,Engineering & CS,14956,kt-scrape-excel
2009,Riverside,Fine Arts,27520,kt-scrape-excel
2009,Riverside,Humanities,26602,kt-scrape-excel
2009,Riverside,Life Sciences,17729,kt-scrape-excel
2009,Riverside,Other,1951,kt-scrape-excel
2009,Riverside,Physical Sciences,26040,kt-scrape-excel
2009,Riverside,Social Sciences,12884,kt-scrape-excel
2009,San Diego,Engineering & CS,12614,kt-scrape-excel
2009,San Diego,Fine Arts,31888,kt-scrape-excel
2009,San Diego,Humanities,30279,kt-scrape-excel
2009,San Diego,Life Sciences,23767,kt-scrape-excel
2009,San Diego,Physical Sciences,21802,kt-scrape-excel
2009,San Diego,Social Sciences,5955,kt-scrape-excel
2009,San Francisco,Health Sciences,32591,kt-scrape-excel
2009,San Francisco,Life Sciences,28507,kt-scrape-excel
2009,San Francisco,Other,1176,kt-scrape-excel
2009,Santa Barbara,Engineering & CS,18285,kt-scrape-excel
2009,Santa Barbara,Fine Arts,28543,kt-scrape-excel
2009,Santa Barbara,Humanities,16193,kt-scrape-excel
2009,Santa Barbara,Life Sciences,21407,kt-scrape-excel
2009,Santa Barbara,Other,27076,kt-scrape-excel
2009,Santa Barbara,Physical Sciences,23021,kt-scrape-excel
2009,Santa Barbara,Professional,6000,kt-scrape-excel
2009,Santa Barbara,Social Sciences,12415,kt-scrape-excel
2009,Santa Cruz,Engineering & CS,19803,kt-scrape-excel
2009,Santa Cruz,Fine Arts,33828,kt-scrape-excel
2009,Santa Cruz,Humanities,25622,kt-scrape-excel
2009,Santa Cruz,Life Sciences,31729,kt-scrape-excel
2009,Santa Cruz,Physical Sciences,24238,kt-scrape-excel
2009,Santa Cruz,Social Sciences,24841,kt-scrape-excel
2010,Systemwide,Engineering & CS,-6042,kt-scrape-excel
2010,Systemwide,Fine Arts,7860,kt-scrape-excel
2010,Systemwide,Health Sciences,8422,kt-scrape-excel
2010,Systemwide,Humanities,6144,kt-scrape-excel
2010,Systemwide,Joint/Unknown,16305,kt-scrape-excel
2010,Systemwide,Life Sciences,2830,kt-scrape-excel
2010,Systemwide,Other,-212,kt-scrape-excel
2010,Systemwide,Physical Sciences,3305,kt-scrape-excel
2010,Systemwide,Professional,5209,kt-scrape-excel
2010,Systemwide,Social Sciences,-7061,kt-scrape-excel
2010,Berkeley,Engineering & CS,1912,kt-scrape-excel
2010,Berkeley,Fine Arts,10440,kt-scrape-excel
2010,Berkeley,Health Sciences,5651,kt-scrape-excel
2010,Berkeley,Humanities,5990,kt-scrape-excel
2010,Berkeley,Life Sciences,15853,kt-scrape-excel
2010,Berkeley,Other,13080,kt-scrape-excel
2010,Berkeley,Physical Sciences,2147,kt-scrape-excel
2010,Berkeley,Social Sciences,9149,kt-scrape-excel
2010,Davis,Engineering & CS,2050,kt-scrape-excel
2010,Davis,Fine Arts,11504,kt-scrape-excel
2010,Davis,Humanities,9932,kt-scrape-excel
